,Type,Data Version,Model,MSE,RMSE,MAE
0,train,2,MCDO,0.029846668,0.17276189,0.14255357
1,val,2,MCDO,0.047756284,0.21853212,0.17601813
2,test,2,MCDO,0.046886027,0.21653181,0.17471449
