,Type,Data Version,Model,MSE,RMSE,MAE
0,train,1,Deep Ensemble,0.0008982339,0.02997055,0.025691533
1,val,1,Deep Ensemble,0.0022097845,0.047008343,0.032324124
2,test,1,Deep Ensemble,0.0008888018,0.02981278,0.025726814
