,Type,Data Version,Model,MSE,RMSE,MAE
0,train,1,MCDO,0.0064787837,0.080490895,0.0643204
1,val,1,MCDO,0.016829973,0.12973039,0.08544126
2,test,1,MCDO,0.0065148682,0.08071473,0.062334653
