,train_loss,best_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/drop_out,config/epochs,config/hidden_size,config/lr,config/num_features,config/num_layers,config/patience,logdir
133,"tensor(0.5353, requires_grad=True)",0.5088439667597413,9.236385345458984,False,1,a17488f5,2023-11-29_17-57-13,1701302233,9.236385345458984,4058605,Slade-173477,10.2.219.10,9.236385345458984,1,18.802713070663692,0.29704795743226486,500,45.31875790501788,0.0330420897595682,1,8.443515161494403,36.119576263687385,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_a17488f5_134_batch_size=18.8027,drop_out=0.2970,epochs=500,hidden_size=45.3188,lr=0.0330,num_features=1,num_layers=8.44_2023-11-29_17-57-03"
134,"tensor(0.5005, requires_grad=True)",0.539069119845517,165.76484489440918,False,1,b26a582c,2023-11-29_17-59-53,1701302393,165.76484489440918,4044478,Slade-173477,10.2.219.10,165.76484489440918,1,2.5358567734056088,0.2357346454373489,500,67.02029712628126,0.07344616739705553,1,9.953459084337574,36.7816733546094,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_b26a582c_135_batch_size=2.5359,drop_out=0.2357,epochs=500,hidden_size=67.0203,lr=0.0734,num_features=1,num_layers=9.953_2023-11-29_17-57-04"
135,"tensor(0.4881, requires_grad=True)",0.5392735958099365,44.56999611854553,False,1,57e52f81,2023-11-29_17-57-53,1701302273,44.56999611854553,4044974,Slade-173477,10.2.219.10,44.56999611854553,1,10.778011098768987,0.24402829701676854,500,140.4160600104509,0.014488734031387212,1,4.122524252142936,40.1706758220974,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_57e52f81_136_batch_size=10.7780,drop_out=0.2440,epochs=500,hidden_size=140.4161,lr=0.0145,num_features=1,num_layers=4.1_2023-11-29_17-57-08"
136,"tensor(0.0523, requires_grad=True)",0.5389123005764698,18.08095479011536,False,1,d1558915,2023-11-29_17-57-29,1701302249,18.08095479011536,4060509,Slade-173477,10.2.219.10,18.08095479011536,1,3.904627580543754,0.37976979143088496,500,126.00876701137173,0.04162251986416154,1,4.977941268383121,4.978191644265652,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_d1558915_137_batch_size=3.9046,drop_out=0.3798,epochs=500,hidden_size=126.0088,lr=0.0416,num_features=1,num_layers=4.97_2023-11-29_17-57-09"
137,"tensor(0.6015, requires_grad=True)",0.5369028186096865,18.145867109298703,False,1,7e004489,2023-11-29_17-57-31,1701302251,18.145867109298703,4058605,Slade-173477,10.2.219.10,18.145867109298703,1,12.742661388658991,0.3986667846768668,500,123.67803974497697,0.0817148196222158,1,5.826201177370303,42.537397508674694,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_7e004489_138_batch_size=12.7427,drop_out=0.3987,epochs=500,hidden_size=123.6780,lr=0.0817,num_features=1,num_layers=5.8_2023-11-29_17-57-12"
138,"tensor(0.6990, requires_grad=True)",0.5345871816663181,17.033217668533325,False,1,a32bdb43,2023-11-29_17-57-34,1701302254,17.033217668533325,4044351,Slade-173477,10.2.219.10,17.033217668533325,1,12.538831032331016,0.48111498547608633,500,60.87610955313566,0.06482870529387635,1,5.926545836553454,44.5920505935649,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_a32bdb43_139_batch_size=12.5388,drop_out=0.4811,epochs=500,hidden_size=60.8761,lr=0.0648,num_features=1,num_layers=5.92_2023-11-29_17-57-13"
139,"tensor(0.5303, requires_grad=True)",0.5389272725582123,13.41928744316101,False,1,b006adc6,2023-11-29_17-57-32,1701302252,13.41928744316101,4065130,Slade-173477,10.2.219.10,13.41928744316101,1,4.368135952113951,0.15555123178301972,500,66.45114026760852,0.09296685970639948,1,3.081483402670922,15.044862198725433,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_b006adc6_140_batch_size=4.3681,drop_out=0.1556,epochs=500,hidden_size=66.4511,lr=0.0930,num_features=1,num_layers=3.081_2023-11-29_17-57-18"
140,"tensor(0.4244, requires_grad=True)",0.5453842936650567,1.263256549835205,False,1,7f42d928,2023-11-29_17-57-26,1701302246,1.263256549835205,4069327,Slade-173477,10.2.219.10,1.263256549835205,1,9.758495010587694,0.14938997587780586,500,69.09026640084996,0.06297518353391975,1,5.449963383947484,1.8457767917949026,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_7f42d928_141_batch_size=9.7585,drop_out=0.1494,epochs=500,hidden_size=69.0903,lr=0.0630,num_features=1,num_layers=5.450_2023-11-29_17-57-20"
141,"tensor(0.4490, requires_grad=True)",0.4878063553571701,39.425185441970825,False,1,20f873de,2023-11-29_17-58-05,1701302285,39.425185441970825,4069327,Slade-173477,10.2.219.10,39.425185441970825,1,4.882633581170785,0.23215373285670224,500,37.75859911419061,0.04311550054997771,1,2.723331662940767,21.53799191610367,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_20f873de_142_batch_size=4.8826,drop_out=0.2322,epochs=500,hidden_size=37.7586,lr=0.0431,num_features=1,num_layers=2.723_2023-11-29_17-57-26"
142,"tensor(0.6348, requires_grad=True)",0.5327054814380758,28.377809286117557,False,1,e91b3765,2023-11-29_17-57-58,1701302278,28.377809286117557,4060509,Slade-173477,10.2.219.10,28.377809286117557,1,12.67484140729414,0.1977316372832712,500,10.2940917608781,0.07703227173457632,1,5.846018935533884,45.197949666917616,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_mcdo_data2/train_mcdo_e91b3765_143_batch_size=12.6748,drop_out=0.1977,epochs=500,hidden_size=10.2941,lr=0.0770,num_features=1,num_layers=5.84_2023-11-29_17-57-27"
