,train_loss,best_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/epochs,config/hidden_size,config/lr,config/num_features,config/num_layers,config/num_models,config/patience,logdir
47,-1.798055863,-1.390742462,22735.71907,FALSE,1,f341110b,2023-11-30_22-29-27,1701404967,22735.71907,111058,Slade-173477,10.2.219.10,22735.71907,1,1.214763216,500,99.70041352,0.0001,1,9.197036131,5,14.44872812,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_f341110b_48_batch_size=1.2148,epochs=500,hidden_size=99.7004,lr=0.0001,num_features=1,num_layers=9.1970,num_models=5,pati_2023-11-30_15-54-53"
133,-1.308900189,-1.383806374,23246.36417,FALSE,1,b8006b2e,2023-12-01_02-11-25,1701418285,23246.36417,106655,Slade-173477,10.2.219.10,23246.36417,1,1.51033938,500,120.0350741,0.002188956,1,6.452538647,5,33.15834783,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_b8006b2e_134_batch_size=1.5103,epochs=500,hidden_size=120.0351,lr=0.0022,num_features=1,num_layers=6.4525,num_models=5,pa_2023-11-30_19-37-34"
72,-1.220968199,-1.324491945,8626.177924,FALSE,1,a73fd6cf,2023-11-30_19-17-54,1701393474,8626.177924,108025,Slade-173477,10.2.219.10,8626.177924,1,1.861368048,500,99.37905536,0.000685076,1,9.330048515,5,13.56070736,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_a73fd6cf_73_batch_size=1.8614,epochs=500,hidden_size=99.3791,lr=0.0007,num_features=1,num_layers=9.3300,num_models=5,pati_2023-11-30_16-53-41"
168,-1.177666187,-1.294485486,2964.254972,FALSE,1,df83b568,2023-11-30_22-26-54,1701404814,2964.254972,108169,Slade-173477,10.2.219.10,2964.254972,1,1.173332367,500,122.39747,0.005598014,1,2.521384901,5,9.069300128,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_df83b568_169_batch_size=1.1733,epochs=500,hidden_size=122.3975,lr=0.0056,num_features=1,num_layers=2.5214,num_models=5,pa_2023-11-30_21-32-53"
108,-1.74036541,-1.26751352,11617.50322,FALSE,1,9ec0a0ee,2023-11-30_21-56-17,1701402977,11617.50322,106706,Slade-173477,10.2.219.10,11617.50322,1,1.570811798,500,7.46972773,0.005594745,1,2.751522635,5,37.02108194,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_9ec0a0ee_109_batch_size=1.5708,epochs=500,hidden_size=7.4697,lr=0.0056,num_features=1,num_layers=2.7515,num_models=5,pati_2023-11-30_18-42-12"
69,-1.739632082,-1.170478559,22956.50707,FALSE,1,d5ebe156,2023-11-30_23-12-35,1701407555,22956.50707,110392,Slade-173477,10.2.219.10,22956.50707,1,1.159196444,500,12.19292491,0.007035493,1,6.926828758,5,34.93886611,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_d5ebe156_70_batch_size=1.1592,epochs=500,hidden_size=12.1929,lr=0.0070,num_features=1,num_layers=6.9268,num_models=5,pati_2023-11-30_16-48-58"
177,-0.701549828,-1.15896412,4735.760371,FALSE,1,f37cedae,2023-11-30_23-20-14,1701408014,4735.760371,108876,Slade-173477,10.2.219.10,4735.760371,1,1.771305085,500,6.061491941,0.008029719,1,2.827347636,5,21.65173707,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_f37cedae_178_batch_size=1.7713,epochs=500,hidden_size=6.0615,lr=0.0080,num_features=1,num_layers=2.8273,num_models=5,pati_2023-11-30_21-59-35"
111,-1.29644227,-1.010704619,29366.9995,FALSE,1,bb595190,2023-12-01_02-57-26,1701421046,29366.9995,111881,Slade-173477,10.2.219.10,29366.9995,1,1.629942446,500,67.94651206,0.002473455,1,9.592912529,5,46.26096968,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_bb595190_112_batch_size=1.6299,epochs=500,hidden_size=67.9465,lr=0.0025,num_features=1,num_layers=9.5929,num_models=5,pat_2023-11-30_18-45-28"
45,-1.416202128,-0.955204581,21103.27807,FALSE,1,81b94610,2023-11-30_21-18-03,1701400683,21103.27807,112701,Slade-173477,10.2.219.10,21103.27807,1,1.228688959,500,99.6672491,0.002914437,1,9.613747548,5,12.97898469,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_81b94610_46_batch_size=1.2287,epochs=500,hidden_size=99.6672,lr=0.0029,num_features=1,num_layers=9.6137,num_models=5,pati_2023-11-30_15-26-11"
136,-1.666675568,-0.798603148,753.2611129,FALSE,1,e484006d,2023-11-30_20-04-41,1701396281,753.2611129,26272,Slade-173477,10.2.219.10,753.2611129,1,1.82565195,500,48.83439367,0.003769161,1,6.195535307,5,1.690379876,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_e484006d_137_batch_size=1.8257,epochs=500,hidden_size=48.8344,lr=0.0038,num_features=1,num_layers=6.1955,num_models=5,pat_2023-11-30_19-49-43"
196,-1.501555511,-0.466885228,1938.421537,FALSE,1,79198941,2023-11-30_23-10-28,1701407428,1938.421537,111934,Slade-173477,10.2.219.10,1938.421537,1,1.922918916,500,122.1642092,0.021005773,1,2.705022628,5,9.003797049,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_79198941_197_batch_size=1.9229,epochs=500,hidden_size=122.1642,lr=0.0210,num_features=1,num_layers=2.7050,num_models=5,pa_2023-11-30_22-34-25"
180,-0.474453062,-0.38836576,991.9716268,FALSE,1,fc2ba960,2023-11-30_22-31-10,1701405070,991.9716268,111158,Slade-173477,10.2.219.10,991.9716268,1,1.729355238,500,49.76040599,0.00593002,1,6.113724317,5,1.313657399,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_fc2ba960_181_batch_size=1.7294,epochs=500,hidden_size=49.7604,lr=0.0059,num_features=1,num_layers=6.1137,num_models=5,pat_2023-11-30_22-11-44"
143,-0.229040647,0.00229363,6107.489116,FALSE,1,cd055d4f,2023-11-30_21-49-41,1701402581,6107.489116,108122,Slade-173477,10.2.219.10,6107.489116,1,1.330913024,500,114.7728633,0.012457327,1,4.874077628,5,23.20805045,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_cd055d4f_144_batch_size=1.3309,epochs=500,hidden_size=114.7729,lr=0.0125,num_features=1,num_layers=4.8741,num_models=5,pa_2023-11-30_20-04-41"
8,-0.575934649,0.039620383,7904.369397,FALSE,1,7e554a30,2023-11-30_15-21-40,1701379300,7904.369397,27719,Slade-173477,10.2.219.10,7904.369397,1,1.24407647,500,99.54020511,0.003535413,1,9.274563217,5,13.6802191,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_7e554a30_9_batch_size=1.2441,epochs=500,hidden_size=99.5402,lr=0.0035,num_features=1,num_layers=9.2746,num_models=5,patie_2023-11-30_13-09-52"
131,-0.215932101,0.050515946,10118.39905,FALSE,1,a2c0818e,2023-11-30_22-26-10,1701404770,10118.39905,111111,Slade-173477,10.2.219.10,10118.39905,1,1.549624548,500,12.48873035,0.012731051,1,6.124779496,5,35.86272459,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_a2c0818e_132_batch_size=1.5496,epochs=500,hidden_size=12.4887,lr=0.0127,num_features=1,num_layers=6.1248,num_models=5,pat_2023-11-30_19-34-03"
120,-0.5944291,0.06548408,12255.66231,FALSE,1,3205c0f4,2023-11-30_22-30-53,1701405053,12255.66231,109634,Slade-173477,10.2.219.10,12255.66231,1,2.346144795,500,196.4910614,0.006967794,1,3.744463691,5,33.89197616,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_3205c0f4_121_batch_size=2.3461,epochs=500,hidden_size=196.4911,lr=0.0070,num_features=1,num_layers=3.7445,num_models=5,pa_2023-11-30_19-03-34"
119,-1.05221194,0.069726247,1755.273251,FALSE,1,d0f25849,2023-11-30_19-32-49,1701394369,1755.273251,111934,Slade-173477,10.2.219.10,1755.273251,1,1.324689244,500,122.6840864,0.038999881,1,2.549224577,5,9.051130333,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_d0f25849_120_batch_size=1.3247,epochs=500,hidden_size=122.6841,lr=0.0390,num_features=1,num_layers=2.5492,num_models=5,pa_2023-11-30_19-00-10"
116,1.93609395,0.070856448,5743.035141,FALSE,1,5bb505b1,2023-11-30_20-34-36,1701398076,5743.035141,111158,Slade-173477,10.2.219.10,5743.035141,1,2.177485418,500,49.54268164,0.00080401,1,3.177929514,5,37.84303034,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_5bb505b1_117_batch_size=2.1775,epochs=500,hidden_size=49.5427,lr=0.0008,num_features=1,num_layers=3.1779,num_models=5,pat_2023-11-30_18-57-54"
117,1.553033876,0.07541908,11529.32356,FALSE,1,e9b84090,2023-11-30_22-11-44,1701403904,11529.32356,106145,Slade-173477,10.2.219.10,11529.32356,1,2.776026939,500,113.4384666,0.000585973,1,7.272556978,5,32.86635166,"/home/sgupta/WORK/Triplevel_transformer_model/baselines/hyperparameter_search/experiment_de_data2/train_de_e9b84090_118_batch_size=2.7760,epochs=500,hidden_size=113.4385,lr=0.0006,num_features=1,num_layers=7.2726,num_models=5,pa_2023-11-30_18-58-54"
