,Type,Data Version,Model,MSE,RMSE,MAE
0,train,3,MCDO,0.023143988,0.15213148,0.12817451
1,val,3,MCDO,0.025067776,0.15832807,0.13361663
2,test,3,MCDO,0.024242407,0.15569973,0.13168573
