,Type,Data Version,Model,MSE,RMSE,MAE
0,train,4,MCDO,0.009638977,0.09817829,0.06499009
1,val,4,MCDO,0.008111941,0.090066314,0.061229117
2,test,4,MCDO,0.007269871,0.085263535,0.05809842
